City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cape Town,ZA,74.88,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
1,Tuy Hoa,VN,71.78,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
4,Grahamstown,ZA,62.47,overcast clouds,-33.3042,26.5328,Bartholomew's Loft
5,Flinders,AU,68.38,moderate rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
8,Busselton,AU,65.05,clear sky,-33.65,115.3333,Observatory Guest House
11,Punta Arenas,CL,59.11,light intensity shower rain,-53.15,-70.9167,Hotel Hain
12,Cidreira,BR,73.99,overcast clouds,-30.1811,-50.2056,Hotel Castelo
14,Padang,ID,74.16,overcast clouds,-0.9492,100.3543,Mercure Padang
15,Saint George,US,56.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
16,Esperance,AU,66.04,clear sky,-33.8667,121.9,Hospitality Esperance
17,Hobart,AU,57.06,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
19,Kalemie,CD,70.07,light rain,-5.9475,29.1947,Mahobilali
26,Menongue,AO,60.13,overcast clouds,-14.6585,17.691,Ritz Lauca
30,Bredasdorp,ZA,69.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
33,Suluq,LY,55.0,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
34,Ahipara,NZ,71.49,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
36,Nguruka,TZ,65.34,overcast clouds,-5.1092,31.0419,RUSULI LODGE
42,Ushuaia,AR,64.02,light rain,-54.8,-68.3,Albatross Hotel
43,New Norfolk,AU,56.71,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
47,East London,ZA,69.75,light rain,-33.0153,27.9116,Tu Casa
61,Pacific Grove,US,64.58,clear sky,36.6177,-121.9166,Lovers Point Inn
64,Alexandria,EG,57.0,clear sky,31.2156,29.9553,Royal Crown Hotel
68,Byron Bay,AU,67.05,broken clouds,-28.65,153.6167,Backpackers Inn
69,Yulara,AU,64.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
73,Saldanha,ZA,68.32,clear sky,-33.0117,17.9442,Blue Bay Lodge
75,Peniche,PT,56.68,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
77,Mweka,CD,74.05,broken clouds,-4.85,21.5667,Guest House Boshab
79,Suez,EG,55.62,clear sky,29.9737,32.5263,Green House
82,Hermanus,ZA,69.8,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
83,Bengkulu,ID,74.25,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
87,Guadalupe Victoria,MX,65.95,clear sky,32.2869,-115.105,Hotel Dial
90,Los Llanos De Aridane,ES,64.15,clear sky,28.6585,-17.9182,Valle Aridane
93,Pozo Colorado,PY,72.43,light rain,-23.4923,-58.7972,Hospedaje la Amistad
94,Victoria,HK,61.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
95,Salem,IN,72.18,broken clouds,11.65,78.1667,YMCA PROGRAM CENTRE
100,Wembley,AU,74.16,clear sky,-31.9333,115.8,Quest on Rheola
106,Chuy,UY,71.94,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
