City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,74.88,60,0,1.01,clear sky
1,Tuy Hoa,VN,13.0833,109.3,71.78,88,100,12.41,overcast clouds
2,Pemangkat,ID,1.1667,108.9667,78.17,87,100,7.76,overcast clouds
3,Skibbereen,IE,51.55,-9.2667,52.11,84,100,31.14,overcast clouds
4,Grahamstown,ZA,-33.3042,26.5328,62.47,89,100,20.87,overcast clouds
5,Flinders,AU,-34.5833,150.8552,68.38,81,99,5.99,moderate rain
6,Qaanaaq,GL,77.484,-69.3632,2.34,83,100,4.25,overcast clouds
7,Severo-Kurilsk,RU,50.6789,156.125,28.36,94,100,5.46,light snow
8,Busselton,AU,-33.65,115.3333,65.05,83,0,7.56,clear sky
9,Castro,BR,-24.7911,-50.0119,75.16,81,36,8.75,scattered clouds
10,Mahebourg,MU,-20.4081,57.7,80.26,84,100,19.22,light rain
11,Punta Arenas,CL,-53.15,-70.9167,59.11,77,100,21.85,light intensity shower rain
12,Cidreira,BR,-30.1811,-50.2056,73.99,94,100,8.93,overcast clouds
13,Rikitea,PF,-23.1203,-134.9692,78.8,72,100,11.7,overcast clouds
14,Padang,ID,-0.9492,100.3543,74.16,97,100,1.7,overcast clouds
15,Saint George,US,37.1041,-113.5841,56.35,26,0,3.0,clear sky
16,Esperance,AU,-33.8667,121.9,66.04,70,5,17.47,clear sky
17,Hobart,AU,-42.8794,147.3294,57.06,81,40,4.61,scattered clouds
18,Albany,US,42.6001,-73.9662,21.31,60,5,4.0,clear sky
19,Kalemie,CD,-5.9475,29.1947,70.07,86,77,1.01,light rain
20,Vaini,TO,-21.2,-175.2,77.16,94,100,8.05,light rain
21,Jamestown,US,42.097,-79.2353,21.52,46,40,5.01,scattered clouds
22,Clyde River,CA,70.4692,-68.5914,-26.63,84,100,4.5,overcast clouds
23,Mataura,NZ,-46.1927,168.8643,50.49,92,100,1.07,overcast clouds
24,State College,US,40.7934,-77.86,22.75,70,75,1.01,broken clouds
25,Tasiilaq,GL,65.6145,-37.6368,23.16,58,100,9.73,overcast clouds
26,Menongue,AO,-14.6585,17.691,60.13,97,100,4.23,overcast clouds
27,Hamilton,US,39.1834,-84.5333,27.05,71,0,1.01,snow
28,Faya,SA,18.3851,42.4509,54.12,77,3,3.51,clear sky
29,Baley,RU,51.6,116.6333,-15.57,100,84,2.68,broken clouds
30,Bredasdorp,ZA,-34.5322,20.0403,69.28,82,100,19.1,overcast clouds
31,Cherskiy,RU,68.75,161.3,-32.93,96,12,1.41,few clouds
32,Yellowknife,CA,62.456,-114.3525,-9.58,95,89,8.79,overcast clouds
33,Suluq,LY,31.6682,20.2521,55.0,71,10,6.87,clear sky
34,Ahipara,NZ,-35.1667,173.1667,71.49,98,96,5.91,overcast clouds
35,Barrow,US,71.2906,-156.7887,-14.78,70,75,12.66,haze
36,Nguruka,TZ,-5.1092,31.0419,65.34,93,100,0.6,overcast clouds
37,Iqaluit,CA,63.7506,-68.5145,-30.03,97,98,2.57,overcast clouds
38,Yaan,NG,7.3833,8.5667,84.24,13,0,6.2,clear sky
39,Nicoya,CR,10.1483,-85.452,89.15,27,6,16.37,clear sky
40,Carnarvon,AU,-24.8667,113.6333,78.87,89,75,10.36,broken clouds
41,Merauke,ID,-8.4667,140.3333,80.29,86,100,9.15,overcast clouds
42,Ushuaia,AR,-54.8,-68.3,64.02,55,75,24.16,light rain
43,New Norfolk,AU,-42.7826,147.0587,56.71,66,100,1.25,overcast clouds
44,Winslow,US,35.0242,-110.6974,43.3,27,0,0.0,clear sky
45,Iroquois Falls,CA,48.7669,-80.6831,6.12,72,100,5.7,overcast clouds
46,Talnakh,RU,69.4865,88.3972,-17.63,100,100,3.18,overcast clouds
47,East London,ZA,-33.0153,27.9116,69.75,85,100,18.39,light rain
48,Alyangula,AU,-13.8483,136.4192,78.62,85,98,8.34,overcast clouds
49,Salalah,OM,17.0151,54.0924,75.29,73,75,4.61,broken clouds
50,Kyrksaeterora,NO,63.2906,9.0891,36.25,86,82,7.27,light snow
